dialog,act,emotion
"['Dan , Dan , dude . You have to come over to my house right now ! '
 ' Is everything OK ? ' ' Just get over here ! ' ' Come in ! Quickly ! '
 ' So , since when is your house a bank ? ' ' What do you mean ? '
 ' I mean , what ’ s up with the locks and iron bars on your windows . '
 ' Security , Dan , security ! You can never be too safe you know ! A lot of sickos out there . Just the other day they caught that peeping tom red handed ! Had a high power telescope and binoculars by his window . '
 ' What ’ s the matter with you ? Why are you acting all paranoid ? '
 ' Paranoid ? I ’ m not paranoid ! I ’ m cautious ! You see Dan , we have to be on guard at all time ! People just invade your privacy as if they knew you ! Telemarketers , solicitors , even your bank ! They have way too much information ! I like to keep everything on a need to know basis . '
 ' OK , well , what did you want to see me about ? '
 ' You are being watched ! Be careful Dan ! Be careful ! ']",[3 2 3 3 2 2 2 1 2 1 2 1],[3 0 3 3 0 0 0 3 0 3 0 3]
"['What are you doing now , Steven ? '
 ' I am reading a book about money management . '
 ' Oh , my God . Do you want to be a millionaire ? I can see you are very crazy about money . '
 "" Everyone wants to earn a lot of money . Don't you think so ? What's more , I am interested in money management . ""
 "" No , you are wrong . Money can't buy happiness and health . I won't sacrifice my health in order to get money . In other words , I don't want to be a millionaire and I want to have more free time to enjoy life . ""
 ' Oh , I see . But a proverb says "" Money makes the mare go . "" I think it will be better if you have more money . '
 ' Maybe you are right . Please take care of yourself when you make money . Anyway health is the most important thing . '
 ' Thank you for your caring . I will . ' ' No thanks . ']",[2 1 2 1 1 1 1 1 1],[0 0 6 0 0 4 4 4 4]
"['How would you describe your relationship with our boss ? '
 ' We have a fairly good working relationship , but there was also a rough spot . '
 ' What do you think his strengths are ? '
 ' Well , he has an amazing ability to analyze information and he is very good at making the right decision in tough situations . ']",[2 1 2 1],[0 0 0 0]
"['They promised us a sea view . '
 ' Well , you can just see the sea . Between the factory chimneys . '
 "" Isn't it awful ? I can't bear to look at it . I don't think I can stand this place for two weeks . ""
 "" Well , it can't be helped . We'll just have to put up with it . ""]",[1 1 2 1],[2 0 2 0]
"['Hey , Jim . Wake up ! ' ' Do I have to get up now ? '
 "" You'd better get up or you'll be late . ""
 "" What are you talking about ? The alarm hasn't even gone off yet . ""
 ' Yes , It has . It went off 30 minutes ago . '
 ' I must have slept right through it . '
 ' Rise and shine , sleepyhead . '
 ' Just let me sleep five more minutes . ']",[3 2 1 2 1 1 3 4],[0 0 0 0 0 0 0 0]
"[""I've heard you're going to America tomorrow . I want to see you off at the airport . ""
 ' Oh , thanks a lot . ' ' What time are you leaving ? '
 "" 1 thirty P . m . But I've got to check in at 12 thirty P . m . ""
 ' What airline and what flight ? '
 ' Pan American Airlines . Flight 282 . '
 "" I'll see you at the airport at 12 thirty P . m . ""
 ' Ok . See you tomorrow . ']",[1 1 2 1 2 1 1 1],[0 4 0 0 0 0 3 4]
"[""Oh , look at those earrings , Maria . They're perfect for you . ""
 "" These red ones ? I'm not sure . "" ' No , the yellow ones . '
 "" Oh , these ? Hmm ... Yellow isn't a good color for me . ""
 "" Well , that necklace isn't bad . "" ' Which one ? '
 ' That blue one right there . How much is it ? '
 "" It's $ 42 ! ! That's expensive ! ""
 "" Hey , let me get it for you . It's your birthday present . ""]",[3 2 1 4 3 2 2 1 1],[0 0 0 0 0 0 0 6 0]
"['Which is your preference , tea or coffee ? '
 ' My choice would always be tea . ' ' When did you form this hobby ? '
 ' Last year when I visited China . ']",[2 1 2 1],[0 0 0 0]
"['Did you feed the puppies today ? ' ' Yes , I have . '
 "" That's good ! Just make sure to bathe them later . ""
 ' No problem . I can do that for you . '
 ' Thank you ! You know they have to go to the vet on Saturday ? '
 ' I know . What time do they go ? '
 "" Their appointment is at eleven o'clock in the morning . ""
 "" Okay , I won't forget . ""]",[2 1 3 4 2 2 1 1],[0 0 0 0 0 0 0 0]
"[""That's great ! We made 20 minutes earlier . ""
 ' Good thing , we took a taxi . ' ' Mom , you are the best ! '
 ' Hey , look there . It is an advertisement of the piano training class on the billboard . The place is not far from our home . '
 ' Mom , come on . What are you thinking about ? '
 ' Your sister is in high school now ; no one plays the piano at home . '
 "" Don't tell me you want me to do that ? ""
 ' Why ? Why not ! The piano is right there . '
 "" But I don't like playing the piano . And the homework keeps me busy enough . ""
 ' Anyway , I will have a look at the piano class after work by myself . '
 ' How depressed ! ']",[1 1 1 1 2 1 2 2 1 1 1],[4 4 4 0 0 0 0 0 0 0 1]
